order_id,order_item_id,customer_id,store_id,sku,quantity,unit_price,amount,order_date,order_year,order_month
HIST-ORD-0001,HIST-ITEM-0001,CUST-0001,STORE-01,SKU-100,2,149.99,299.98,2025-01-05,2025,1
HIST-ORD-0002,HIST-ITEM-0002,CUST-0002,STORE-02,SKU-101,1,89.50,89.50,2025-01-08,2025,1
HIST-ORD-0003,HIST-ITEM-0003,CUST-0003,STORE-02,SKU-102,1,320.00,320.00,2025-02-02,2025,2
HIST-ORD-0004,HIST-ITEM-0004,CUST-0004,STORE-01,SKU-103,3,59.99,179.97,2025-02-14,2025,2
HIST-ORD-0005,HIST-ITEM-0005,CUST-0005,STORE-03,SKU-104,1,210.75,210.75,2025-03-01,2025,3
HIST-ORD-0006,HIST-ITEM-0006,CUST-0006,STORE-04,SKU-105,1,999.99,999.99,2025-03-20,2025,3
HIST-ORD-0007,HIST-ITEM-0007,CUST-0007,STORE-02,SKU-106,5,15.25,76.25,2025-04-11,2025,4
HIST-ORD-0008,HIST-ITEM-0008,CUST-0008,STORE-01,SKU-107,2,75.00,150.00,2025-04-25,2025,4
HIST-ORD-0009,HIST-ITEM-0009,CUST-0009,STORE-03,SKU-108,1,35.00,35.00,2025-05-09,2025,5
HIST-ORD-0010,HIST-ITEM-0010,CUST-0010,STORE-04,SKU-109,1,180.00,180.00,2025-05-30,2025,5
HIST-ORD-0011,HIST-ITEM-0011,CUST-0011,STORE-05,SKU-110,4,64.30,257.20,2025-06-12,2025,6
HIST-ORD-0012,HIST-ITEM-0012,CUST-0001,STORE-01,SKU-111,1,299.00,299.00,2025-06-28,2025,6
HIST-ORD-0013,HIST-ITEM-0013,,STORE-02,SKU-112,1,18.00,18.00,2025-07-03,2025,7
HIST-ORD-0014,HIST-ITEM-0014,CUST-0003,STORE-03,SKU-100,-1,149.99,-149.99,2025-07-19,2025,7
