order_id,customer_id,order_date,amount,status,store_id,promotion_id,channel,modified_date
ORD-1001,CUST-0001,2026-08-01T09:12:00,149.99,PLACED,STORE-01,,IN_STORE,2026-08-01T09:12:00
ORD-1002,CUST-0002,2026-08-01T10:03:00,89.50,SHIPPED,,PROMO-10,ONLINE,2026-08-01T10:03:00
ORD-1003,CUST-0003,2026-08-02T14:22:00,320.00,DELIVERED,STORE-02,,ONLINE,2026-08-02T14:22:00
ORD-1004,CUST-0004,2026-08-02T16:45:00,59.99,CANCELLED,STORE-01,,IN_STORE,2026-08-02T16:45:00
ORD-1005,CUST-0005,2026-08-03T08:30:00,210.75,PLACED,STORE-03,PROMO-11,ONLINE,2026-08-03T08:30:00
ORD-1006,CUST-0001,2026-08-03T11:15:00,45.00,RETURNED,STORE-01,,IN_STORE,2026-08-03T11:15:00
ORD-1007,CUST-0006,2026-08-04T09:50:00,999.99,PLACED,STORE-04,,ONLINE,2026-08-04T09:50:00
ORD-1008,CUST-0007,2026-08-04T13:05:00,15.25,SHIPPED,STORE-02,,IN_STORE,2026-08-04T13:05:00
ORD-1009,,2026-08-05T10:00:00,75.00,PLACED,STORE-01,,ONLINE,2026-08-05T10:00:00
ORD-1010,CUST-0008,2026-08-05T12:40:00,-25.00,PLACED,STORE-03,,IN_STORE,2026-08-05T12:40:00
ORD-1011,CUST-0009,2026-08-06T15:20:00,180.00,UNKNOWN_STATUS,STORE-01,,ONLINE,2026-08-06T15:20:00
ORD-1003,CUST-0003,2026-08-02T14:22:00,320.00,DELIVERED,STORE-02,,ONLINE,2026-08-02T14:22:00
ORD-1012,CUST-0010,2026-08-06T17:00:00,64.30,DELIVERED,STORE-04,,IN_STORE,2026-08-06T17:00:00
ORD-1013,CUST-0002,2026-08-07T09:10:00,132.40,PLACED,STORE-02,PROMO-10,ONLINE,2026-08-07T09:10:00
ORD-1014,CUST-0011,2026-08-07T11:55:00,299.00,SHIPPED,STORE-03,,IN_STORE,2026-08-07T11:55:00
